,key_0,Site ID,Site Name,Project,Collected Date/Time,Collected Date,Collected Time,Analyte,Total/Dissolved,ChlA Value,Units,Comments,Qualifier,Method,Prepared Date/Time,Analyzed Date/Time,Start Depth,Start Depth Units,Sample ID,Agency,Permit No PS,DID No PS,Unnamed: 21,Nitrate Value
8,10/30/2019,20564,Weeki Wachee Hernando 7,P529,10/30/2019 11:15:00 AM,10/30/2019,11:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/25/2019 2:27:00 PM,11/25/2019 2:27:00 PM,0.3,m,201063133.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.061
0,10/16/2017,20941,Crystal Citrus 8,P529,10/16/2017 12:30:00 PM,10/16/2017,12:30,Chlorophyll a (Total),Total,1.94,ug/L, N1,QI,SM 10200 H,11/7/2017 3:11:00 PM,11/7/2017 3:11:00 PM,0.5,m,200981843.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.001
1,01/16/2018,20941,Crystal Citrus 8,P529,1/16/2018 12:55:00 PM,01/16/2018,12:55,Chlorophyll a (Total),Total,1.05,ug/L, N1,I,SM 10200 H,2/1/2018 2:38:00 PM,2/1/2018 2:38:00 PM,0.5,m,200990863.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
2,04/25/2018,20941,Crystal Citrus 8,P529,4/25/2018 10:30:00 AM,04/25/2018,10:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/1/2018 2:53:00 PM,5/1/2018 2:53:00 PM,0.5,m,200999891.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,07/11/2018,20941,Crystal Citrus 8,P529,7/11/2018 12:15:00 PM,07/11/2018,12:15,Chlorophyll a (Total),Total,1.95,ug/L, N1,I,SM 10200 H,8/3/2018 11:25:00 AM,8/3/2018 11:25:00 AM,0.5,m,201009698.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,10/04/2018,20941,Crystal Citrus 8,P529,10/4/2018 11:20:00 AM,10/04/2018,11:20,Chlorophyll a (Total),Total,5.48,ug/L, N1,,SM 10200 H,10/12/2018 9:27:00 AM,10/12/2018 9:27:00 AM,0.5,m,201023338.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
5,01/09/2019,20941,Crystal Citrus 8,P529,1/9/2019 12:00:00 PM,01/09/2019,12:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,2/5/2019 9:47:00 AM,2/5/2019 9:47:00 AM,0.25,m,201033194.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,04/17/2019,20941,Crystal Citrus 8,P529,4/17/2019 12:30:00 PM,04/17/2019,12:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/17/2019 9:32:00 AM,5/17/2019 9:32:00 AM,0.5,m,201042295.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,10/29/2019,20941,Crystal Citrus 8,P529,10/29/2019 11:50:00 AM,10/29/2019,11:50,Chlorophyll a (Total),Total,1.86,ug/L, N1,I,SM 10200 H,11/25/2019 1:09:00 PM,11/25/2019 1:09:00 PM,0.5,m,201063005.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
0,08/14/2017,21055,Homosassa Citrus 6,P529,8/14/2017 12:00:00 PM,08/14/2017,12:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,10/19/2017 8:26:00 AM,10/19/2017 8:26:00 AM,0.5,m,200969596.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.008
1,10/12/2017,21055,Homosassa Citrus 6,P529,10/12/2017 12:45:00 PM,10/12/2017,12:45,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,11/3/2017 10:17:00 AM,11/3/2017 10:17:00 AM,0.5,m,200980112.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.014
2,01/09/2018,21055,Homosassa Citrus 6,P529,1/9/2018 11:45:00 AM,01/09/2018,11:45,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,1/30/2018 10:19:00 AM,1/30/2018 10:19:00 AM,0.5,m,200990872.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
3,04/23/2018,21055,Homosassa Citrus 6,P529,4/23/2018 10:50:00 AM,04/23/2018,10:50,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,5/10/2018 7:23:00 AM,5/10/2018 7:23:00 AM,0.5,m,200999899.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
4,08/02/2018,21055,Homosassa Citrus 6,P529,8/2/2018 11:00:00 AM,08/02/2018,11:00,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,8/21/2018 1:32:00 PM,8/21/2018 1:32:00 PM,0.5,m,201009706.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.014
5,10/03/2018,21055,Homosassa Citrus 6,P529,10/3/2018 12:20:00 PM,10/03/2018,12:20,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,10/12/2018 2:24:00 PM,10/12/2018 2:24:00 PM,0.5,m,201023346.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
6,01/10/2019,21055,Homosassa Citrus 6,P529,1/10/2019 11:20:00 AM,01/10/2019,11:20,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,2/5/2019 7:16:00 AM,2/5/2019 7:16:00 AM,0.33,m,201033202.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
7,04/11/2019,21055,Homosassa Citrus 6,P529,4/11/2019 1:30:00 PM,04/11/2019,13:30,Chlorophyll a (Total),Total,1.0,ug/L, N1,QU,SM 10200 H,5/13/2019 2:33:00 PM,5/13/2019 2:33:00 PM,0.5,m,201042303.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.004
8,10/23/2019,21055,Homosassa Citrus 6,P529,10/23/2019 12:15:00 PM,10/23/2019,12:15,Chlorophyll a (Total),Total,1.0,ug/L, N1,U,SM 10200 H,11/12/2019 1:28:00 PM,11/12/2019 1:28:00 PM,0.5,m,201063013.0,SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT,0,0,,0.011
